OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x8000003, duration=342640.619s, table=21, n_packets=0, n_bytes=0, priority=42,ip,metadata=0x30d62/0xfffffe,nw_dst=10.16.2.2 actions=set_field:0xc8->tun_id,set_field:fa:16:3e:26:0a:9b->eth_dst,load:0x100->NXM_NX_REG6[],resubmit(,220)
 cookie=0x8000003, duration=342640.564s, table=21, n_packets=8, n_bytes=784, priority=42,ip,metadata=0x30d62/0xfffffe,nw_dst=10.16.2.8 actions=group:150009
 cookie=0x8000003, duration=268535.270s, table=21, n_packets=0, n_bytes=0, priority=42,ip,metadata=0x30d5c/0xfffffe,nw_dst=192.168.100.202 actions=load:0x1800->NXM_NX_REG6[],resubmit(,220)
 cookie=0x8000004, duration=342631.113s, table=21, n_packets=872, n_bytes=85360, priority=10,ip,metadata=0x30d62/0xfffffe actions=goto_table:26
 cookie=0x8000010, duration=439218.980s, table=22, n_packets=0, n_bytes=0, priority=0,ipv6 actions=CONTROLLER:65535,learn(table=22,hard_timeout=10,priority=10,cookie=0x8000010,eth_type=0x86dd,NXM_NX_IPV6_DST[],OXM_OF_METADATA[1..23])
 cookie=0x8000010, duration=439218.980s, table=22, n_packets=0, n_bytes=0, priority=0,ip actions=CONTROLLER:65535,learn(table=22,hard_timeout=10,priority=10,cookie=0x8000010,eth_type=0x800,NXM_OF_IP_DST[],OXM_OF_METADATA[1..23])
 cookie=0x1080000, duration=439218.980s, table=23, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x1080000, duration=439218.992s, table=24, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x8000006, duration=345011.421s, table=26, n_packets=7, n_bytes=686, priority=5,ip,metadata=0x30d46/0xfffffe actions=set_field:0x11170->tun_id,group:225001
 cookie=0x8000006, duration=342631.125s, table=26, n_packets=872, n_bytes=85360, priority=5,ip,metadata=0x30d62/0xfffffe actions=set_field:0x11171->tun_id,group:225003
 cookie=0x900138c, duration=347918.723s, table=36, n_packets=1148, n_bytes=137105, priority=5,tun_id=0x64 actions=write_metadata:0x138c000000/0xfffffffff000000,goto_table:51
 cookie=0x900138d, duration=347454.801s, table=36, n_packets=247, n_bytes=27841, priority=5,tun_id=0xc8 actions=write_metadata:0x138d000000/0xfffffffff000000,goto_table:51
 cookie=0x905138c, duration=347919.669s, table=38, n_packets=0, n_bytes=0, priority=5,tun_id=0x64 actions=write_metadata:0x138c000000/0xfffffffff000000,goto_table:51
 cookie=0x905138d, duration=347455.710s, table=38, n_packets=0, n_bytes=0, priority=5,tun_id=0xc8 actions=write_metadata:0x138d000000/0xfffffffff000000,goto_table:51
 cookie=0x822002e, duration=439218.972s, table=43, n_packets=21, n_bytes=882, priority=100,arp,arp_op=2 actions=resubmit(,195),resubmit(,196),resubmit(,48)
 cookie=0x822002d, duration=439218.929s, table=43, n_packets=2340, n_bytes=138564, priority=100,arp,arp_op=1 actions=group:5000,resubmit(,195),resubmit(,196),resubmit(,48)
 cookie=0x8220000, duration=439218.988s, table=43, n_packets=1114, n_bytes=143444, priority=0 actions=goto_table:48
 cookie=0x4000000, duration=439218.979s, table=45, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x8500000, duration=439218.929s, table=48, n_packets=0, n_bytes=0, priority=100,arp,reg4=0x101/0xffff actions=load:0->NXM_NX_REG4[],CONTROLLER:65535,resubmit(,49),resubmit(,50)
 cookie=0x8500000, duration=439218.929s, table=48, n_packets=24, n_bytes=1008, priority=100,arp,reg4=0x1/0xffff actions=load:0->NXM_NX_REG4[],resubmit(,49),resubmit(,50)
